epoch,accuracy,val_accuracy,loss,val_loss
1,0.7766355276107788,0.8059701323509216,0.12128563970327377,0.0918956845998764
2,0.8345794677734375,0.8358209133148193,0.0971137210726738,0.08835553377866745
3,0.84112149477005,0.8656716346740723,0.09159434586763382,0.10245897620916367
4,0.8457943797111511,0.8432835936546326,0.0887887254357338,0.08961722254753113
5,0.8476635217666626,0.8358209133148193,0.09870307147502899,0.08749794960021973
6,0.8542056083679199,0.8358209133148193,0.0873284637928009,0.09063812345266342
7,0.8448598384857178,0.8507462739944458,0.08774267137050629,0.09436991065740585
8,0.8626168370246887,0.8358209133148193,0.08656387776136398,0.09103929996490479
9,0.858878493309021,0.8507462739944458,0.08598090708255768,0.08646053820848465
10,0.8803738355636597,0.8208954930305481,0.06848713755607605,0.17700402438640594
11,0.9056074619293213,0.8805969953536987,0.06412815302610397,0.08886774629354477
12,0.9074766635894775,0.888059675693512,0.06199116259813309,0.07726672291755676
13,0.9205607771873474,0.8656716346740723,0.04687207564711571,0.10805854201316833
14,0.9158878326416016,0.888059675693512,0.050147246569395065,0.08893369883298874
15,0.9168224334716797,0.888059675693512,0.04503917694091797,0.09580018371343613
