epoch,accuracy,val_accuracy,loss,val_loss
1,0.785981297492981,0.7686567306518555,0.11822150647640228,0.11528776586055756
2,0.8308411240577698,0.8208954930305481,0.09508050233125687,0.11645875126123428
3,0.8439252376556396,0.7835820913314819,0.09491977095603943,0.11563854664564133
4,0.8485981225967407,0.7910447716712952,0.09028083086013794,0.10381735861301422
5,0.8644859790802002,0.8358209133148193,0.08083809167146683,0.09208542108535767
6,0.8570093512535095,0.8358209133148193,0.07839106768369675,0.11297280341386795
7,0.8504672646522522,0.7985074520111084,0.0844046100974083,0.10309961438179016
8,0.8467289805412292,0.8731343150138855,0.08357492834329605,0.08996213972568512
9,0.8607476353645325,0.8059701323509216,0.0844348892569542,0.0928049236536026
10,0.8635513782501221,0.8507462739944458,0.07776284962892532,0.08353660255670547
11,0.872897207736969,0.8059701323509216,0.07946687191724777,0.09777170419692993
12,0.8644859790802002,0.7611940503120422,0.08593730628490448,0.10385114699602127
13,0.8691588640213013,0.8208954930305481,0.07730573415756226,0.08596448600292206
14,0.8663551211357117,0.8358209133148193,0.08069265633821487,0.08415917307138443
15,0.8813084363937378,0.8731343150138855,0.06995809823274612,0.07158464193344116
16,0.8850467205047607,0.8805969953536987,0.07150616496801376,0.08243457973003387
17,0.9084112048149109,0.8805969953536987,0.06169569864869118,0.08945111930370331
18,0.8999999761581421,0.888059675693512,0.06333497166633606,0.076009102165699
