epoch,accuracy,val_accuracy,loss,val_loss
1,0.7094762921333313,0.8421875238418579,0.14460764825344086,0.09129456430673599
2,0.7780548334121704,0.870312511920929,0.11801081895828247,0.07075483351945877
3,0.8004987239837646,0.839062511920929,0.11036555469036102,0.10384835302829742
4,0.8042393922805786,0.831250011920929,0.10664727538824081,0.10989905893802643
5,0.834164559841156,0.8453124761581421,0.10069776326417923,0.09555717557668686
6,0.83790522813797,0.7515624761581421,0.09404830634593964,0.15385572612285614
7,0.8167082071304321,0.8046875,0.1016695499420166,0.12554064393043518
8,0.8042393922805786,0.800000011920929,0.11061328649520874,0.14009056985378265
9,0.8491271734237671,0.7250000238418579,0.09126432240009308,0.22581443190574646
10,0.8503740429878235,0.8687499761581421,0.08558176457881927,0.07746367901563644
11,0.881546139717102,0.84375,0.07326661050319672,0.09833277761936188
12,0.8965087532997131,0.739062488079071,0.06232600286602974,0.2437225580215454
13,0.9089775681495667,0.840624988079071,0.05379721149802208,0.12454338371753693
14,0.9064837694168091,0.8343750238418579,0.05585651472210884,0.12357188761234283
15,0.9177057147026062,0.832812488079071,0.049966033548116684,0.13005422055721283
