epoch,accuracy,val_accuracy,loss,val_loss
1,0.7468827962875366,0.8734375238418579,0.13383956253528595,0.07387250661849976
2,0.8042393922805786,0.8500000238418579,0.11413361877202988,0.08610972762107849
3,0.8192020058631897,0.8453124761581421,0.10648421943187714,0.09175486862659454
4,0.8254364132881165,0.8374999761581421,0.09890290349721909,0.09241933375597
5,0.8167082071304321,0.8515625,0.0949951782822609,0.0857272818684578
6,0.8615959882736206,0.864062488079071,0.08941100537776947,0.08082643896341324
7,0.809226930141449,0.8203125,0.1069851666688919,0.10461896657943726
8,0.8391520977020264,0.8203125,0.09721750020980835,0.09578979760408401
9,0.8516209721565247,0.8453124761581421,0.08804476261138916,0.08481921255588531
10,0.8715710639953613,0.815625011920929,0.07948757708072662,0.12800851464271545
11,0.8728179335594177,0.8218749761581421,0.08025843650102615,0.11251459270715714
12,0.8790523409843445,0.8187500238418579,0.07275868952274323,0.12131600081920624
13,0.8940149545669556,0.8187500238418579,0.06525052338838577,0.11558671295642853
14,0.9014962315559387,0.8343750238418579,0.06354488432407379,0.09560836851596832
